Title,Date
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","12/01/2022"
"Mr. Robot: Season 1: eps1.7_wh1ter0se.m4v","09/01/2022"
"Mr. Robot: Season 1: eps1.6_v1ew-s0urce.flv","09/01/2022"
"Mr. Robot: Season 1: eps1.0_hellofriend.mov","09/01/2022"
"Titans: Season 1: Hank and	Dawn","03/01/2022"
"Titans: Season 1: Dick	Grayson","03/01/2022"
"Titans: Season 2: Rose","03/01/2022"
"Titans: Season 2: Trigon","03/01/2022"
"Titans: Season 1: Koriand'r","02/01/2022"
"Titans: Season 1: Donna Troy","02/01/2022"
"Breaking Bad: Season 1: Pilot","02/01/2022"
"You: Season 1: Bluebeard's Castle","31/12/2021"
"You: Season 1: Candace","31/12/2021"
"You: Season 1: You Got Me, Babe","30/12/2021"
"You: Season 1: Everythingship","29/12/2021"
"You: Season 1: Amour Fou","29/12/2021"
"You: Season 1: Living with the Enemy","29/12/2021"
"You: Season 1: The Captain","29/12/2021"
"You: Season 1: Maybe","29/12/2021"
"You: Season 1: The Last Nice Guy in New York","29/12/2021"
"You: Season 1: Pilot","29/12/2021"
"The Amazing Spider-Man","29/12/2021"
"The Amazing Spider-Man 2","22/12/2021"
"Naruto: Season 1: You Failed! Kakashi's Final Decision","19/12/2021"
"Titans: Season 1: The Asylum","18/12/2021"
"Titans: Season 1: Jason Todd","17/12/2021"
"Titans: Season 1: Together","17/12/2021"
"Titans: Season 1: Doom Patrol","16/12/2021"
"Titans: Season 1: Origins","16/12/2021"
"Titans: Season 1: Hawk and Dove","16/12/2021"
"Titans: Season 1: Titans","15/12/2021"
"Kota Factory: Season 1: Assembly Line","11/12/2021"
"Main Hoon Na","04/12/2021"
"The Umbrella Academy: Season 2: The End of Something","03/12/2021"
"The Umbrella Academy: Season 2: 743","03/12/2021"
"The Umbrella Academy: Season 2: The Seven Stages","02/12/2021"
"The Umbrella Academy: Season 2: Öga for Öga","02/12/2021"
"The Umbrella Academy: Season 2: A Light Supper","02/12/2021"
"The Umbrella Academy: Season 2: Valhalla","02/12/2021"
"The Umbrella Academy: Season 2: The Majestic 12","02/12/2021"
"Haseen Dillruba","28/11/2021"
